5/30/25,,,,,,,,,,
CHAOS,,,,,,,,,,
Offensive,,,,,,,,,,
,P,1G,2G,A,Sh,Sh%,GB,TO,TCH,PAS
19,5,3,0,2,10,30%,1,1,29,18
Eicher profile,,,,,,,,,,
J. Eicher,,,,,,,,,,
A,,,,,,,,,,
51,3,2,0,1,6,33.30%,0,1,25,18
Sillstrop profile,,,,,,,,,,
JJ Sillstrop,,,,,,,,,,
M,,,,,,,,,,
79,2,1,0,1,3,33.30%,0,1,22,18
Zawada profile,,,,,,,,,,
J. Zawada,,,,,,,,,,
A,,,,,,,,,,
22,1,1,0,0,5,20%,0,0,11,6
Ferrara profile,,,,,,,,,,
C. Ferrara,,,,,,,,,,
M,,,,,,,,,,
40,1,1,0,0,6,16.70%,2,0,26,20
Degnon profile,,,,,,,,,,
G. Degnon,,,,,,,,,,
M,,,,,,,,,,
15,1,0,0,1,4,0%,1,2,17,11
Scott profile,,,,,,,,,,
R. Scott,,,,,,,,,,
M,,,,,,,,,,
0,0,0,0,0,1,0%,2,0,23,22
Riorden profile,,,,,,,,,,
B. Riorden,,,,,,,,,,
G,,,,,,,,,,
3,0,0,0,0,2,0%,0,0,9,7
Aslanian profile,,,,,,,,,,
C. Aslanian,,,,,,,,,,
M,,,,,,,,,,
66,0,0,0,0,3,0%,1,1,24,20
Dobson profile,,,,,,,,,,
E. Dobson,,,,,,,,,,
M,,,,,,,,,,
16,0,0,0,0,1,0%,0,0,6,5
Glicini profile,,,,,,,,,,
M. Glicini,,,,,,,,,,
SSDM,,,,,,,,,,
Defensive,,,,,,,,,,
,CT,GB,P,Pen,Sh,TCH,,,,
10,2,3,0,0,0,14,,,,
Reh profile,,,,,,,,,,
T. Reh,,,,,,,,,,
LSM,,,,,,,,,,
51,2,0,3,0,6,25,,,,
Sillstrop profile,,,,,,,,,,
JJ Sillstrop,,,,,,,,,,
M,,,,,,,,,,
0,1,2,0,0,1,23,,,,
Riorden profile,,,,,,,,,,
B. Riorden,,,,,,,,,,
G,,,,,,,,,,
99,1,0,0,0,0,10,,,,
Rowlett profile,,,,,,,,,,
J. Rowlett,,,,,,,,,,
D,,,,,,,,,,
9,0,3,0,0,0,7,,,,
Dearth profile,,,,,,,,,,
