,Touches,Goalm Rate,Assist Rate,Pass Rate,Shot Rate,Turnover Rate
Chrome logo,472,3.39%,4.66%,80.93%,12.08%,6.99%
Brendan Nichtern,,,,,,
Archers logo,374,5.08%,3.74%,79.95%,13.90%,6.15%
Tom Schreiber,,,,,,
Waterdogs logo,363,5.23%,6.34%,76.31%,17.08%,6.61%
Kieran McArdle,,,,,,
Atlas logo,362,6.08%,4.42%,79.83%,14.36%,5.80%
Jeff Teat,,,,,,
Archers logo,354,5.37%,2.26%,80.51%,15.54%,3.95%
Marcus Holman,,,,,,
Atlas logo,353,4.82%,4.53%,77.90%,17.00%,5.10%
Chris Gray,,,,,,
Archers logo,344,4.65%,4.94%,77.91%,16.28%,5.81%
Will Manny,,,,,,
Atlas logo,339,5.31%,3.24%,83.48%,9.73%,6.78%
Eric Law,,,,,,
Chrome logo,337,4.15%,3.26%,79.23%,15.43%,5.34%
Dylan Molloy,,,,,,
Redwoods logo,330,4.85%,6.67%,79.39%,14.85%,5.76%
Rob Pannell,,,,,,
Whipsnakes logo,303,6.93%,3.63%,65.68%,25.08%,9.24%
Matt Rambo,,,,,,
Redwoods logo,287,2.79%,1.74%,77.35%,16.03%,6.62%
Matt Kavanagh,,,,,,
Chrome logo,286,8.39%,3.85%,75.87%,21.68%,2.45%
Logan Wisnauskas,,,,,,
Atlas logo,284,3.87%,2.82%,70.42%,22.89%,6.69%
Bryan Costabile,,,,,,
Cannons logo,283,9.19%,6.36%,67.84%,23.32%,8.83%
Lyle Thompson,,,,,,
Cannons logo,282,4.96%,3.19%,71.63%,17.38%,10.99%
Asher Nolting,,,,,,
Whipsnakes logo,280,5.71%,1.43%,74.64%,21.79%,3.57%
Mike Chanenchuk,,,,,,
Cannons logo,277,2.17%,2.89%,83.75%,10.47%,5.78%
Stephen Rehfuss,,,,,,
Waterdogs logo,267,4.12%,3.00%,83.15%,10.49%,6.37%
Zach Currier,,,,,,
Waterdogs logo,260,6.15%,2.31%,70.38%,22.69%,6.92%
Connor Kelly,,,,,,
Waterdogs logo,255,8.24%,4.31%,72.16%,23.14%,4.71%
Michael Sowers,,,,,,
Redwoods logo,252,7.54%,2.38%,74.60%,18.65%,6.75%
Ryder Garnsey,,,,,,
Chaos logo,243,2.47%,7.00%,83.13%,11.93%,4.94%
Dhane Smith,,,,,,
Cannons logo,243,7.00%,1.23%,76.95%,20.99%,2.06%
Ryan Drenner,,,,,,
Chaos logo,238,6.30%,2.10%,71.43%,22.27%,6.30%
Josh Byrne,,,,,,
Waterdogs logo,235,3.83%,1.70%,82.98%,12.77%,4.26%
Ethan Walker,,,,,,
Redwoods logo,232,5.17%,3.02%,71.12%,23.71%,5.17%
Myles Jones,,,,,,
Whipsnakes logo,231,5.63%,3.46%,71.00%,24.68%,4.33%
Brad Smith,,,,,,
Chrome logo,228,6.58%,2.19%,78.95%,17.11%,3.95%
Justin Anderson,,,,,,
Chaos logo,219,5.48%,0.46%,73.06%,17.81%,9.13%
Chase Fraser,,,,,,
Archers logo,215,6.05%,0.93%,74.88%,20.93%,4.19%
Ryan Ambler,,,,,,
Whipsnakes logo,207,6.28%,2.90%,69.08%,23.19%,7.73%
Zed Williams,,,,,,
Redwoods logo,205,5.85%,3.41%,76.10%,17.56%,6.34%
Jules Heningburg,,,,,,
Chaos logo,203,3.45%,1.97%,86.70%,9.36%,3.94%
Kyle Jackson,,,,,,
Archers logo,202,1.98%,5.45%,85.64%,10.40%,3.96%
Grant Ament,,,,,,
Chaos logo,199,5.53%,1.51%,81.41%,15.08%,3.52%
Mac O'Keefe,,,,,,
Redwoods logo,197,4.06%,0.51%,74.62%,21.83%,3.55%
Sergio Perkovic,,,,,,
Chrome logo,188,2.66%,1.06%,77.13%,16.49%,6.38%
Colin Heacock,,,,,,
Whipsnakes logo,181,3.31%,3.87%,80.11%,13.81%,6.08%
Bryan Cole,,,,,,
Archers logo,174,8.62%,2.87%,67.82%,24.71%,7.47%
Matt Moore,,,,,,
Chrome logo,172,8.14%,0.58%,68.02%,22.67%,9.30%
Jordan MacIntosh,,,,,,
Whipsnakes logo,166,3.61%,6.02%,79.52%,15.06%,5.42%
Justin Guterding,,,,,,
Redwoods logo,164,10.98%,0.00%,64.63%,26.22%,9.15%
Charlie Bertrand,,,,,,
Chaos logo,159,5.66%,3.14%,76.10%,16.35%,7.55%
Chris Cloutier,,,,,,
Whipsnakes logo,156,0.00%,0.00%,96.15%,1.28%,2.56%
Kyle Bernlohr,,,,,,
Waterdogs logo,152,6.58%,5.26%,75.00%,19.08%,5.92%
Ryan Conrad,,,,,,
Cannons logo,151,0.00%,0.00%,98.68%,1.32%,0.00%
Nick Marrocco,,,,,,
Chaos logo,150,0.00%,0.67%,96.00%,2.00%,2.00%
Blaze Riorden,,,,,,
Waterdogs logo,149,7.38%,2.01%,53.02%,43.62%,3.36%
Jack Hannah,,,,,,
Atlas logo,142,5.63%,1.41%,76.76%,16.20%,7.04%
Dox Aitken,,,,,,
Chrome logo,139,3.60%,2.16%,82.73%,9.35%,7.91%
Jackson Morrill,,,,,,
Chrome logo,136,0.00%,0.74%,97.79%,0.00%,2.21%
Sean Sconone,,,,,,
Chaos logo,133,6.02%,1.50%,77.44%,18.05%,4.51%
