,Touches,Goal Rate,Assist Rate,Pass Rate,Shot Rate,
Redwoods logo,420,3.57%,4.52%,74.52%,Turnover Rate,9.29%
Rob Pannell,,,,,,
Cannons logo,409,7.33%,3.18%,76.04%,19.32%,4.65%
Marcus Holman,,,,,,
Archers logo,388,4.64%,4.38%,79.90%,16.49%,3.61%
Tom Schreiber,,,,,,
Archers logo,370,7.57%,2.97%,70.00%,25.41%,4.59%
Connor Fields,,,,,,
Chaos logo,367,4.09%,2.45%,77.38%,16.08%,6.54%
Brian Minicus,,,,,,
Redwoods logo,365,6.85%,3.01%,77.81%,18.08%,4.11%
Ryder Garnsey,,,,,,
Atlas logo,358,3.07%,6.98%,84.08%,10.06%,5.87%
Jeff Teat,,,,,,
Atlas logo,354,6.21%,3.67%,72.32%,21.19%,6.50%
Chris Gray,,,,,,
Cannons logo,341,6.16%,5.87%,78.01%,17.30%,4.69%
Asher Nolting,,,,,,
Waterdogs logo,335,4.78%,4.18%,80.90%,17.01%,2.09%
Ethan Walker,,,,,,
Waterdogs logo,330,6.06%,4.24%,71.52%,21.21%,7.27%
Kieran McArdle,,,,,,
Waterdogs logo,322,4.66%,4.66%,70.50%,23.91%,5.59%
Michael Sowers,,,,,,
Chaos logo,318,1.57%,7.86%,84.59%,7.55%,7.86%
Dhane Smith,,,,,,
Chrome logo,312,3.53%,2.24%,77.24%,17.31%,5.45%
Logan Wisnauskas,,,,,,
Chrome logo,281,4.27%,0.71%,76.87%,19.22%,3.91%
Cross Ferrara,,,,,,
Archers logo,277,9.39%,1.81%,64.62%,32.13%,3.25%
Mac O'Keefe,,,,,,
Whipsnakes logo,268,5.60%,5.97%,75.37%,20.52%,4.10%
Will Manny,,,,,,
Cannons logo,267,5.99%,2.62%,82.02%,16.10%,1.87%
Ryan Drenner,,,,,,
Atlas logo,266,8.27%,1.88%,78.20%,16.17%,5.64%
Eric Law,,,,,,
Whipsnakes logo,258,6.59%,2.71%,77.52%,20.16%,2.33%
Mike Chanenchuk,,,,,,
Cannons logo,252,5.56%,3.97%,74.60%,20.24%,5.16%
Matt Kavanagh,,,,,,
Atlas logo,247,6.07%,2.02%,69.23%,23.08%,7.69%
Bryan Costabile,,,,,,
Archers logo,246,5.69%,1.63%,80.08%,15.85%,4.07%
Tre Leclaire,,,,,,
Whipsnakes logo,238,5.88%,4.62%,69.33%,19.75%,10.92%
Matt Rambo,,,,,,
Whipsnakes logo,237,6.33%,2.95%,63.71%,30.80%,5.49%
Zed Williams,,,,,,
Waterdogs logo,235,2.13%,3.83%,83.83%,11.91%,4.26%
Zach Currier,,,,,,
Cannons logo,234,5.13%,1.71%,74.79%,19.23%,5.98%
Matt Campbell,,,,,,
Whipsnakes logo,234,8.12%,0.85%,70.51%,26.50%,2.99%
Tucker Dordevic,,,,,,
Chaos logo,232,4.31%,1.29%,77.59%,16.81%,5.60%
Kyle Jackson,,,,,,
Cannons logo,229,5.68%,2.18%,74.24%,22.71%,3.06%
Chris Aslanian,,,,,,
Redwoods logo,218,3.21%,2.29%,77.98%,16.06%,5.96%
Charlie Bertrand,,,,,,
Archers logo,218,1.83%,4.13%,84.40%,11.93%,3.67%
Grant Ament,,,,,,
Redwoods logo,209,3.35%,0.96%,68.42%,27.27%,4.31%
Romar Dennis,,,,,,
Cannons logo,203,5.91%,5.42%,79.31%,17.73%,2.96%
Jonathan Donville,,,,,,
Redwoods logo,192,10.94%,1.04%,72.92%,22.40%,4.69%
Wes Berg,,,,,,
Atlas logo,192,7.29%,3.13%,71.88%,19.79%,8.33%
Xander Dickson,,,,,,
Waterdogs logo,192,5.73%,1.04%,81.77%,16.67%,1.56%
Jake Carraway,,,,,,
Chrome logo,187,4.81%,0.53%,74.87%,19.79%,5.35%
Justin Anderson,,,,,,
Redwoods logo,184,3.80%,3.26%,76.09%,16.85%,7.07%
Jules Heningburg,,,,,,
Archers logo,184,5.43%,3.26%,67.39%,27.17%,5.43%
Matt Moore,,,,,,
Archers logo,184,3.80%,2.17%,80.98%,13.04%,5.98%
Ryan Ambler,,,,,,
Waterdogs logo,180,6.11%,0.56%,71.67%,22.78%,5.56%
Connor Kelly,,,,,,
Chrome logo,178,5.62%,1.69%,65.73%,25.84%,8.43%
Sam Handley,,,,,,
Chaos logo,176,8.52%,3.41%,65.34%,26.14%,8.52%
Josh Byrne,,,,,,
Atlas logo,176,2.84%,1.14%,77.84%,13.64%,8.52%
Trevor Baptiste,,,,,,
Redwoods logo,166,0.00%,0.00%,96.39%,0.60%,3.01%
Jack Kelly,,,,,,
Cannons logo,161,0.00%,0.62%,95.65%,0.00%,4.35%
Colin Kirst,,,,,,
Waterdogs logo,157,4.46%,2.55%,78.98%,15.29%,5.73%
Ryan Conrad,,,,,,
Redwoods logo,150,8.67%,3.33%,75.33%,23.33%,1.33%
Cole Kirst,,,,,,
Chrome logo,140,0.00%,0.00%,95.00%,0.00%,5.00%
Sean Sconone,,,,,,
Waterdogs logo,135,8.89%,2.96%,62.22%,31.85%,5.93%
Jack Hannah,,,,,,
Chaos logo,134,3.73%,0.00%,76.12%,22.39%,1.49%
Will Perry,,,,,,
Redwoods logo,132,2.27%,3.79%,69.70%,23.48%,6.82%
Nakeie Montgomery,,,,,,
