,Touches,Goal Rate,Assist Rate,Pass Rate,Shot Rate,Turnover Rate
Redwoods logo,417,3.60%,3.60%,76.26%,17.75%,6.00%
Rob Pannell,,,,,,
Atlas logo,413,6.78%,8.72%,75.06%,19.13%,5.81%
Jeff Teat,,,,,,
Cannons logo,381,6.56%,1.05%,75.33%,20.21%,4.46%
Marcus Holman,,,,,,
Waterdogs logo,344,5.23%,5.52%,77.03%,18.02%,4.94%
Michael Sowers,,,,,,
Redwoods logo,339,3.83%,3.54%,75.81%,17.40%,6.78%
Ryder Garnsey,,,,,,
Waterdogs logo,333,6.61%,3.60%,69.97%,23.42%,6.61%
Kieran McArdle,,,,,,
Outlaws logo,326,1.84%,3.07%,85.28%,11.35%,3.37%
Josh Zawada,,,,,,
Whipsnakes logo,326,5.83%,5.52%,72.09%,22.70%,5.21%
TJ Malone,,,,,,
Cannons logo,316,3.48%,8.86%,77.53%,12.97%,9.49%
Asher Nolting,,,,,,
Outlaws logo,302,6.29%,2.65%,69.54%,27.15%,3.31%
Brennan O'Neill,,,,,,
Chaos logo,288,3.82%,6.25%,76.74%,17.36%,5.90%
Josh Byrne,,,,,,
Archers logo,285,5.26%,4.56%,77.89%,15.79%,6.32%
Grant Ament,,,,,,
Archers logo,279,8.96%,2.51%,67.38%,25.45%,7.17%
Connor Fields,,,,,,
Atlas logo,272,5.51%,4.04%,84.19%,12.87%,2.94%
Connor Shellenberger,,,,,,
Waterdogs logo,262,1.91%,1.91%,85.50%,11.07%,3.44%
Ethan Walker,,,,,,
Cannons logo,261,5.36%,2.30%,78.16%,19.54%,2.30%
Matt Campbell,,,,,,
Archers logo,257,4.28%,5.84%,74.71%,19.46%,5.84%
Tom Schreiber,,,,,,
Archers logo,251,7.97%,1.20%,63.75%,29.88%,6.37%
Mac O'Keefe,,,,,,
Atlas logo,249,6.02%,0.40%,75.10%,19.68%,5.22%
Dox Aitken,,,,,,
Whipsnakes logo,244,2.87%,1.23%,76.23%,18.85%,4.92%
Mike Chanenchuk,,,,,,
Redwoods logo,238,3.36%,1.68%,78.99%,15.55%,5.46%
Chris Gray,,,,,,
Chaos logo,235,5.96%,0.85%,74.89%,20.43%,4.68%
Ross Scott,,,,,,
Chaos logo,230,4.35%,2.17%,80.87%,13.48%,5.65%
Jules Heningburg,,,,,,
Atlas logo,228,4.82%,3.51%,74.56%,20.61%,4.82%
Bryan Costabile,,,,,,
Redwoods logo,225,6.22%,0.89%,72.89%,23.11%,4.00%
Charlie Bertrand,,,,,,
Outlaws logo,225,6.67%,0.89%,64.44%,30.67%,4.89%
Graham Bundy,,,,,,
Cannons logo,224,4.46%,1.34%,83.93%,14.29%,1.79%
Ryan Drenner,,,,,,
Whipsnakes logo,212,5.66%,2.83%,72.64%,19.34%,8.02%
Matt Rambo,,,,,,
Chaos logo,212,5.19%,1.42%,72.64%,20.75%,6.60%
Shane Knobloch,,,,,,
Whipsnakes logo,208,12.98%,1.44%,56.73%,37.50%,5.77%
Zed Williams,,,,,,
Waterdogs logo,203,5.42%,1.48%,69.46%,27.59%,2.96%
Connor Kelly,,,,,,
Outlaws logo,201,4.48%,2.99%,71.64%,22.39%,5.97%
Sam Handley,,,,,,
Waterdogs logo,199,5.53%,3.52%,82.91%,12.56%,4.52%
Zach Currier,,,,,,
Atlas logo,194,12.37%,3.09%,64.43%,29.90%,5.67%
Xander Dickson,,,,,,
Outlaws logo,187,6.42%,3.21%,74.33%,19.79%,5.88%
Justin Anderson,,,,,,
Atlas logo,174,5.75%,3.45%,69.54%,20.69%,9.77%
Myles Jones,,,,,,
Archers logo,169,12.43%,0.00%,70.41%,24.85%,4.73%
Tre Leclaire,,,,,,
Cannons logo,169,4.73%,0.59%,77.51%,19.53%,2.96%
Chris Aslanian,,,,,,
Archers logo,165,3.03%,2.42%,76.97%,17.58%,5.45%
Matt Moore,,,,,,
Cannons logo,165,0.00%,0.00%,98.79%,0.00%,1.21%
Colin Kirst,,,,,,
Redwoods logo,163,4.91%,0.00%,69.94%,25.15%,4.91%
Romar Dennis,,,,,,
Outlaws logo,161,6.83%,1.24%,77.02%,15.53%,7.45%
Eric Law,,,,,,
Archers logo,156,5.13%,3.21%,71.15%,18.59%,10.26%
Ryan Ambler,,,,,,
Waterdogs logo,156,5.77%,1.92%,60.90%,29.49%,9.62%
Jack Hannah,,,,,,
Whipsnakes logo,155,5.16%,1.29%,65.16%,27.74%,7.10%
Ryan Conrad,,,,,,
Whipsnakes logo,155,0.00%,0.00%,96.13%,0.00%,3.87%
Brendan Krebs,,,,,,
Chaos logo,150,5.33%,2.00%,78.00%,16.00%,6.00%
Tye Kurtz,,,,,,
Redwoods logo,148,0.00%,0.00%,97.30%,0.68%,2.03%
Jack Kelly,,,,,,
Archers logo,148,0.00%,0.68%,94.59%,1.35%,4.05%
Brett Dobson,,,,,,
Chaos logo,147,6.12%,1.36%,72.11%,21.77%,6.12%
Kyle Jackson,,,,,,
Chaos logo,147,4.08%,2.72%,71.43%,20.41%,8.16%
Brian Minicus,,,,,,
Cannons logo,141,3.55%,2.13%,73.05%,20.57%,6.38%
Matt Kavanagh,,,,,,
Whipsnakes logo,139,7.19%,2.16%,71.94%,19.42%,8.63%
Adam Poitras,,,,,,
Outlaws logo,138,5.07%,2.17%,71.01%,26.09%,2.90%
Cross Ferrara,,,,,,
Cannons logo,138,5.80%,2.90%,72.46%,21.74%,5.80%
Pat Kavanagh,,,,,,
Atlas logo,133,3.76%,0.75%,83.46%,9.77%,6.77%
Trevor Baptiste,,,,,,
Cannons logo,131,9.16%,1.53%,71.76%,23.66%,4.58%
Connor Kirst,,,,,,
Whipsnakes logo,129,6.98%,3.10%,72.87%,20.93%,6.20%
Levi Anderson,,,,,,
Redwoods logo,128,10.94%,0.78%,70.31%,21.88%,7.81%
Wes Berg,,,,,,
Outlaws logo,125,0.00%,0.00%,96.80%,0.80%,2.40%
Owen McElroy,,,,,,
Archers logo,125,1.60%,0.00%,86.40%,5.60%,8.00%
Piper Bond,,,,,,
Outlaws logo,120,4.17%,1.67%,87.50%,6.67%,5.83%
Ryan Terefenko,,,,,,
Whipsnakes logo,117,4.27%,0.00%,83.76%,6.84%,9.40%
Joseph Nardella,,,,,,
Whipsnakes logo,116,6.90%,0.86%,74.14%,19.83%,6.03%
Colin Heacock,,,,,,
Redwoods logo,113,0.88%,0.88%,84.07%,9.73%,6.19%
Brian Tevlin,,,,,,
Chaos logo,109,0.92%,1.83%,95.41%,1.83%,2.75%
Blaze Riorden,,,,,,
Outlaws logo,106,5.66%,5.66%,69.81%,24.53%,5.66%
Dalton Young,,,,,,
Redwoods logo,106,4.72%,3.77%,76.42%,17.92%,5.66%
Cole Kirst,,,,,,
Cannons logo,105,7.62%,0.00%,69.52%,25.71%,4.76%
Alexander Vardaro,,,,,,
Waterdogs logo,102,0.00%,0.00%,97.06%,0.98%,1.96%
Dillon Ward,,,,,,
Waterdogs logo,100,1.00%,1.00%,93.00%,3.00%,4.00%
Ben Randall,,,,,,
Atlas logo,100,2.00%,3.00%,83.00%,16.00%,1.00%
Ronan Jacoby,,,,,,
Chaos logo,100,5.00%,0.00%,69.00%,20.00%,11.00%
Eric Dobson,,,,,,
Chaos logo,95,5.26%,0.00%,77.89%,17.89%,4.21%
Sergio Perkovic,,,,,,
Archers logo,94,4.26%,0.00%,90.43%,9.57%,0.00%
Mason Woodward,,,,,,
Cannons logo,93,0.00%,0.00%,95.70%,0.00%,4.30%
Garrett Epple,,,,,,
Cannons logo,92,0.00%,1.09%,73.91%,19.57%,6.52%
Cade van Raaphorst,,,,,,
Redwoods logo,92,2.17%,2.17%,73.91%,18.48%,7.61%
Nakeie Montgomery,,,,,,
Whipsnakes logo,91,4.40%,1.10%,85.71%,7.69%,6.59%
Roman Puglise,,,,,,
Cannons logo,91,5.49%,4.40%,82.42%,12.09%,5.49%
Jeff Trainor,,,,,,
Atlas logo,90,3.33%,0.00%,85.56%,7.78%,6.67%
Chet Comizio,,,,,,
Atlas logo,90,0.00%,0.00%,97.78%,0.00%,2.22%
Liam Entenmann,,,,,,
Redwoods logo,88,4.55%,0.00%,82.95%,14.77%,2.27%
TD Ierlan,,,,,,
Archers logo,86,1.16%,0.00%,68.60%,9.30%,22.09%
Mike Sisselberger,,,,,,
Atlas logo,86,0.00%,0.00%,95.35%,2.33%,2.33%
Tim Troutner,,,,,,
Chaos logo,85,7.06%,1.18%,72.94%,22.35%,4.71%
Ian MacKay,,,,,,
Atlas logo,84,0.00%,2.38%,91.67%,2.38%,5.95%
Brett Makar,,,,,,
Outlaws logo,83,1.20%,1.20%,79.52%,14.46%,6.02%
Jake Piseno,,,,,,
Atlas logo,83,4.82%,1.20%,84.34%,9.64%,6.02%
Tyler Carpenter,,,,,,
Whipsnakes logo,83,1.20%,1.20%,89.16%,3.61%,7.23%
Ajax Zappitello,,,,,,
Chaos logo,82,1.22%,1.22%,91.46%,3.66%,4.88%
Patrick Resch,,,,,,
Atlas logo,82,9.76%,2.44%,62.20%,30.49%,7.32%
Jake Stevens,,,,,,
Whipsnakes logo,80,8.75%,0.00%,63.75%,31.25%,5.00%
Tucker Dordevic,,,,,,
